,Dist,Area,Pop,Latitude,Longitude
0,Son Tay,117.43,"181,831",21.137780000000078,105.50500000000005
1,Ba Dinh,9.224,"247,100",21.022010000000023,105.81934000000007
2,Bac Tu Liem,43.35,"333,300",21.062170000000037,105.76941000000005
3,Cau Giay,12.04,"266,800",21.030244783314533,105.80135903284247
4,Dong Da,9.96,"420,900",21.053289948929606,105.83764998167818
5,Hai Ba Trung,10.09,"318,000",21.155050000000074,105.73429000000004
6,Ha Dong,47.917,"319,800",20.97031000000004,105.78181000000006
7,Hoan Kiem,5.29,"160,600",21.07906999942315,105.81928008050087
8,Hoang Mai,41.04,"411,500",21.028579952247846,105.83206997446484
9,Long Bien,60.38,"291,900",21.044537403629857,105.86187883301236
10,Nam Tu Liem,32.27,"236,700",21.00813000000005,105.76650000000006
11,Tay Ho,24.0,"168,300",21.066670000000045,105.83333000000005
12,Thanh Xuan,9.11,"285,400",21.037600000000054,105.77507000000008
13,Ba Vi,428.0,"282,600",21.083330000000046,105.38333000000006
14,Chuong My,237.4,"331,100",21.019109963356318,105.82980008050086
15,Dan Phuong,78.8,"162,900",21.028880000000072,105.85464000000007
16,Dong Anh,185.6,"381,500",21.03375002553525,105.84797005107049
17,Gia Lam,116.0,"276,300",21.016521292923876,105.92102729292387
18,Hoai Duc,95.3,"229,400",21.08627000000007,105.77028000000007
19,Me Linh,142.26,"226,800",21.028880000000072,105.85464000000007
20,My Duc,230.0,"204,800",21.01456005107047,105.85160997446485
21,Phu Xuyen,171.1,"211,100",21.233560000000068,105.43031000000008
22,Phuc Tho,113.2,"182,300",21.03227000000004,105.85244000000006
23,Quoc Oai,136.0,"188,000",20.992620000000045,105.64316000000008
24,Soc Son,306.51,"340,700",21.16971674021767,105.82183937959881
25,Thanh Tri,63.4,"256,800",21.266670000000033,105.76667000000003
26,Thanh Tri,63.4,"256,800",21.266670000000033,105.76667000000003
27,Thanh Tri,130.7,"247,700",21.266670000000033,105.76667000000003
28,Thanh Tri,130.7,"247,700",21.266670000000033,105.76667000000003
29,Thanh Oai,129.6,"205,200",20.866670000000056,105.75000000000006
30,Thach That,128.1,"207,500",19.750000000000057,105.71667000000008
31,Ung Hoa,188.72,"204,800",20.883330000000058,105.73333000000008
